,product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date
0,2,2950,2017-02-25,False,Approved,Solex,Standard,medium,medium,71.49,53.62,41245.0
1,3,3120,2017-05-21,True,Approved,Trek ,Standard,medium,large,2091.47,388.92,41701.0
2,37,402,2017-10-16,False,Approved,OHM ,Standard,low,medium,1793.43,248.82,36361.0
3,88,3135,2017-08-31,False,Approved,Norco ,Standard,medium,medium,1198.46,381.1,36145.0
4,78,787,2017-01-10,True,Approved,Giant ,Standard,medium,large,1765.3,709.48,42226.0
5,25,2339,2017-08-03,True,Approved,Giant ,Road,medium,medium,1538.99,829.65,39031.0
6,22,1542,2017-04-21,True,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,34165.0
7,15,2459,2017-07-15,False,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,39915.0
8,67,1305,2017-10-08,False,Approved,Solex,Standard,medium,large,1071.23,380.74,33455.0
9,12,3262,2017-08-30,True,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,38216.0
10,5,1986,2017-01-17,False,Approved,Trek ,Mountain,low,medium,574.64,459.71,40784.0
11,61,2783,2017-05-01,True,Approved,OHM ,Standard,low,medium,71.16,56.93,42172.0
12,35,1243,2017-02-26,True,Approved,Trek ,Standard,low,medium,1057.51,154.4,34527.0
13,16,2717,2017-10-09,False,Approved,Norco ,Standard,high,small,1661.92,1479.11,34586.0
14,12,247,2017-11-06,False,Approved,Giant ,Standard,medium,large,1765.3,709.48,38193.0
15,3,2961,2017-10-10,False,Approved,Trek ,Standard,medium,large,2091.47,388.92,37873.0
16,79,2426,2017-03-04,False,Approved,Norco ,Standard,medium,medium,1555.58,818.01,38206.0
17,33,1842,2017-02-06,False,Approved,Giant ,Standard,medium,small,1311.44,1167.18,33888.0
18,54,2268,2017-06-04,True,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,39915.0
19,25,3002,2017-01-28,True,Approved,Giant ,Road,medium,medium,1538.99,829.65,37337.0
20,27,1582,2017-09-10,False,Approved,Trek ,Standard,medium,medium,499.53,388.72,36334.0
21,37,595,2017-06-29,True,Approved,OHM ,Standard,low,medium,1793.43,248.82,36361.0
22,37,2001,2017-08-04,True,Approved,OHM ,Standard,low,medium,1793.43,248.82,42145.0
23,82,515,2017-10-18,False,Approved,Giant ,Road,medium,medium,1538.99,829.65,42404.0
24,89,2822,2017-11-06,False,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,34079.0
25,64,2596,2017-10-01,False,Approved,Trek ,Standard,medium,large,1469.44,596.55,42145.0
26,64,2666,2017-11-04,True,Approved,Trek ,Standard,medium,large,1469.44,596.55,41047.0
27,19,76,2017-12-23,False,Approved,Trek ,Mountain,low,medium,574.64,459.71,42560.0
28,72,3368,2017-10-13,True,Approved,Norco ,Standard,medium,medium,360.4,270.3,42710.0
29,91,1173,2017-03-15,False,Approved,WeareA2B,Standard,low,medium,642.31,513.85,41922.0
30,88,2810,2017-05-09,True,Approved,Norco ,Standard,medium,medium,1198.46,381.1,37539.0
31,1,3214,2017-02-18,False,Approved,Giant ,Standard,medium,medium,1403.5,954.82,42688.0
32,25,1272,2017-03-20,False,Approved,Giant ,Road,medium,medium,1538.99,829.65,42404.0
33,99,2003,2017-02-28,True,Approved,Trek ,Road,low,small,1720.7,1531.42,38991.0
34,0,2171,2017-08-20,False,Approved,Norco ,Road,medium,medium,544.05,376.84,38647.0
35,92,3356,2017-07-07,False,Approved,WeareA2B,Standard,medium,small,1415.01,1259.36,37874.0
36,14,1040,2017-09-01,False,Approved,Solex,Standard,high,large,1842.92,1105.75,34996.0
37,2,2916,2017-06-12,False,Approved,Solex,Standard,medium,medium,71.49,53.62,33549.0
38,12,427,2017-12-09,False,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,38693.0
39,0,2448,2017-11-28,True,Approved,Norco ,Road,medium,medium,544.05,376.84,38647.0
40,44,2570,2017-08-05,True,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,37668.0
41,79,3398,2017-05-14,False,Approved,Solex,Touring,medium,large,2083.94,675.03,41533.0
42,76,488,2017-03-17,False,Cancelled,WeareA2B,Standard,low,medium,642.31,513.85,41922.0
43,46,165,2017-12-22,False,Approved,Solex,Standard,low,medium,1289.85,74.51,37668.0
44,55,2787,2017-07-06,True,Approved,Trek ,Road,medium,large,1894.19,598.76,42172.0
45,66,3053,2017-06-20,False,Approved,Solex,Standard,medium,medium,1163.89,589.27,42560.0
46,35,475,2017-07-05,True,Approved,Trek ,Standard,low,medium,1057.51,154.4,34527.0
47,81,1305,2017-10-06,True,Approved,Solex,Standard,medium,medium,1151.96,649.49,41009.0
48,86,1251,2017-06-17,False,Approved,OHM ,Standard,medium,medium,235.63,125.07,38206.0
49,32,3103,2017-10-05,False,Approved,Giant ,Standard,medium,medium,642.7,211.37,37337.0
50,77,3108,2017-03-24,False,Approved,Norco ,Road,medium,large,1240.31,795.1,40553.0
51,96,857,2017-11-27,False,Approved,Giant ,Standard,medium,large,1635.3,993.66,39427.0
52,6,3455,2017-12-21,True,Approved,OHM ,Standard,high,medium,227.88,136.73,33549.0
53,27,2549,2017-09-02,True,Approved,Trek ,Standard,medium,medium,499.53,388.72,34527.0
54,0,3140,2017-09-18,False,Approved,Norco ,Standard,low,medium,363.01,290.41,38482.0
55,47,3406,2017-11-14,False,Approved,Trek ,Road,low,small,1720.7,1531.42,35470.0
56,94,2294,2017-08-30,True,Approved,Giant ,Standard,medium,large,1635.3,993.66,41434.0
57,91,1031,2017-11-14,False,Approved,Solex,Standard,medium,medium,100.35,75.26,36367.0
58,93,993,2017-02-15,True,Approved,OHM ,Standard,high,medium,1458.17,874.9,38750.0
59,60,3473,2017-12-18,False,Approved,Giant ,Standard,high,small,1977.36,1759.85,41848.0
60,0,1839,2017-02-24,False,Approved,OHM ,Road,high,large,12.01,7.21,34244.0
61,33,1824,2017-12-18,True,Approved,Giant ,Standard,medium,small,1311.44,1167.18,33888.0
62,35,368,2017-12-17,False,Approved,Giant ,Standard,medium,medium,1403.5,954.82,42688.0
63,0,2000,2017-08-07,False,Approved,Trek ,Standard,medium,medium,499.53,388.72,39031.0
64,28,825,2017-05-16,True,Approved,Norco ,Standard,medium,small,1216.14,1082.36,42696.0
65,86,3315,2017-02-23,True,Approved,OHM ,Standard,medium,medium,235.63,125.07,36367.0
66,2,75,2017-03-07,True,Approved,Solex,Standard,medium,medium,71.49,53.62,41245.0
67,4,1498,2017-09-30,True,Approved,Giant ,Standard,high,medium,1129.13,677.48,38258.0
68,38,1612,2017-10-21,True,Approved,Trek ,Standard,medium,large,2091.47,388.92,41167.0
69,27,2192,2017-06-05,True,Approved,Trek ,Standard,medium,medium,499.53,388.72,36334.0
